"Title","Description","Project","Status","Estimate","Priority","Labels"
"[E1.S1.T1] Create React Router 7 Project","Initialize a new React Router 7 project using Vite.

**Commands:**
```bash
npm create vite@latest syphon-v1 -- --template react-ts
cd syphon-v1
npm install react-router@7 react-router-dom@7
npm run dev
```

**Acceptance Criteria:**
- [ ] Project created
- [ ] npm run dev starts server on 5173
- [ ] Browser shows React + Vite page
- [ ] No console errors","E1: Infrastructure & Setup","Ready",1,"Urgent","Setup, Blocker"
"[E1.S1.T2] Configure TypeScript","Configure TypeScript with strict mode and path aliases.

**Files Modified:** tsconfig.json

**Configuration:**
- Enable strict mode
- Add path aliases (@/*)
- Set target to ES2020

**Acceptance Criteria:**
- [ ] tsc --noEmit runs without errors
- [ ] Strict mode enabled
- [ ] Path aliases work","E1: Infrastructure & Setup","Ready",1,"High","Setup"
"[E1.S1.T3] Set Up Tailwind CSS","Install and configure Tailwind CSS v4 with dark theme.

**Commands:**
```bash
npm install -D tailwindcss@next postcss autoprefixer
npx tailwindcss init -p
```

**Acceptance Criteria:**
- [ ] Tailwind classes work
- [ ] Dark theme applied by default
- [ ] No build errors","E1: Infrastructure & Setup","Ready",1,"High","Setup"
"[E1.S1.T4] Add ESLint + Prettier","Configure ESLint and Prettier for code quality.

**Commands:**
```bash
npm install -D eslint @typescript-eslint/parser @typescript-eslint/eslint-plugin
npm install -D prettier eslint-config-prettier eslint-plugin-prettier
```

**Acceptance Criteria:**
- [ ] npm run lint passes
- [ ] Prettier formats on save
- [ ] No linting errors","E1: Infrastructure & Setup","Backlog",1,"High","Setup, Parallel"
"[E1.S1.T5] Create Project Structure","Create organized folder structure.

**Folders to Create:**
- src/routes/
- src/components/ui/
- src/components/layout/
- src/lib/
- src/hooks/
- convex/

**Acceptance Criteria:**
- [ ] Folder structure created
- [ ] utils.ts and cn.ts created","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S1.T6] First Commit","Initialize git and create first commit.

**Commands:**
```bash
git add .
git commit -m ""chore: initial React Router 7 project with TypeScript and Tailwind""
```

**Acceptance Criteria:**
- [ ] Git initialized
- [ ] All files committed
- [ ] Commit message follows convention","E1: Infrastructure & Setup","Backlog",1,"Urgent","Setup, Blocker, Quick Win"
"[E1.S2.T1] Install Convex","Install Convex and initialize project.

**Commands:**
```bash
npm install convex
npx convex dev
```

**Prompts:**
- Create new project? Yes
- Project name: syphon-v1
- Region: US East

**Acceptance Criteria:**
- [ ] Convex installed
- [ ] .env.local created with CONVEX_URL
- [ ] convex/ folder created
- [ ] Convex dashboard accessible","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S2.T2] Create Schema","Create initial Convex schema with users table.

**Files Created:** convex/schema.ts

**Schema includes:**
- users table with all fields
- Indexes: by_clerk_id, by_email

**Acceptance Criteria:**
- [ ] Schema file created
- [ ] npx convex dev runs without errors
- [ ] Dashboard shows users table","E1: Infrastructure & Setup","Backlog",1,"Urgent","Setup, Blocker"
"[E1.S2.T3] Add ConvexProvider","Wrap app with ConvexProvider for real-time queries.

**Files Modified:** src/main.tsx

**Add:**
- Import ConvexProvider
- Create Convex client
- Wrap app

**Acceptance Criteria:**
- [ ] ConvexProvider wraps app
- [ ] Environment variable set
- [ ] No errors in console","E1: Infrastructure & Setup","Backlog",1,"High","Feature"
"[E1.S2.T4] Create Test Query","Create a simple query to test Convex connection.

**Files Created:** convex/users.ts

**Query:** users.list - returns all users

**Files Modified:** src/App.tsx (use query)

**Acceptance Criteria:**
- [ ] Query file created
- [ ] App displays user count
- [ ] Shows 0 if no users","E1: Infrastructure & Setup","Backlog",1,"High","Feature"
