"Title","Description","Project","Status","Estimate","Priority","Labels"
"[E8.S1.T1] Add CSV Import to Schema","Add csv_imports table to schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- userId, filename, rowCount
- storageId, createdAt, expiresAt

**Indexes:**
- by_user
- by_user_and_date

**Acceptance Criteria:**
- [ ] Imports table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E8: Polish & Launch","Backlog",1,"High","Setup"
"[E8.S1.T2] Create CSV Upload Component","Create drag-drop CSV upload component.

**Files Created:** src/components/import/CSVUpload.tsx

**Features:**
- Drag and drop area
- File picker fallback
- File size limit: 10MB
- Accepts .csv only
- Upload to Convex storage

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Drag-drop works
- [ ] File picker works
- [ ] Uploads to storage
- [ ] Size limit enforced","E8: Polish & Launch","Backlog",2,"High","Feature"
"[E8.S1.T3] Create CSV Parser","Create CSV parsing logic.

**Files Created:** src/lib/csvParser.ts

**Features:**
- Parse CSV to array
- Detect columns
- Handle quoted fields
- Handle commas in values
- Error handling

**Acceptance Criteria:**
- [ ] Parser works
- [ ] Handles edge cases
- [ ] Error messages clear
- [ ] Performance good","E8: Polish & Launch","Backlog",2,"High","Feature"
"[E8.S1.T4] Create Column Mapping UI","Create UI to map CSV columns to fields.

**Files Created:** src/components/import/ColumnMapper.tsx

**Features:**
- Shows CSV columns
- Dropdown to map to fields
- Preview first 5 rows
- Auto-detect common patterns

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Mapping works
- [ ] Preview accurate
- [ ] Auto-detect works","E8: Polish & Launch","Backlog",2,"High","Feature"
"[E8.S1.T5] Create Date Format Detector","Auto-detect date formats in CSV.

**Files Created:** src/lib/dateFormatDetector.ts

**Detects:**
- MM/DD/YYYY
- DD/MM/YYYY
- YYYY-MM-DD
- DD-MM-YYYY
- Others

**Acceptance Criteria:**
- [ ] Detects formats correctly
- [ ] Parses dates accurately
- [ ] Handles edge cases","E8: Polish & Launch","Backlog",1,"High","Feature"
"[E8.S1.T6] Create Amount Parser","Parse amounts from CSV (handles currency symbols).

**Files Created:** src/lib/amountParser.ts

**Handles:**
- Currency symbols (£, $, €)
- Commas in numbers
- Decimal points
- Negative amounts

**Acceptance Criteria:**
- [ ] Parses amounts correctly
- [ ] Handles all formats
- [ ] Returns cents","E8: Polish & Launch","Backlog",1,"High","Feature"
"[E8.S1.T7] Create Duplicate Detection","Detect duplicate transactions in CSV.

**Files Created:** src/lib/duplicateDetector.ts

**Logic:**
- Match on date + amount + description
- Show duplicate count
- Allow user to choose: skip or import

**Acceptance Criteria:**
- [ ] Detects duplicates
- [ ] Count accurate
- [ ] User can choose action","E8: Polish & Launch","Backlog",2,"High","Feature"
"[E8.S1.T8] Create Import Mutation","Create Convex mutation to import transactions.

**Files Created/Modified:** convex/imports.ts

**Mutation:** importTransactions

**Logic:**
- Create transactions in batch
- Link to import record
- Return count

**Acceptance Criteria:**
- [ ] Mutation created
- [ ] Batch insert works
- [ ] Returns count","E8: Polish & Launch","Backlog",1,"High","Feature"
"[E8.S1.T9] Create Import Progress Component","Show progress during CSV import.

**Files Created:** src/components/import/ImportProgress.tsx

**Features:**
- Progress bar
- Rows imported / total
- Cancel button
- Success message

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Progress updates
- [ ] Cancel works
- [ ] Success shows","E8: Polish & Launch","Backlog",1,"High","Feature"
"[E8.S1.T10] Create Undo Import Feature","Allow undoing most recent import.

**Files Created:** src/components/import/UndoImport.tsx

**Features:**
- Shows import details
- ""Undo Import"" button
- Confirmation dialog
- Deletes transactions from import

**Acceptance Criteria:**
- [ ] Component renders
- [ ] Shows import details
- [ ] Undo works
- [ ] Transactions deleted","E8: Polish & Launch","Backlog",2,"High","Feature"
