"Title","Description","Project","Status","Estimate","Priority","Labels"
"[E6.S1.T1] Add Recurring Templates to Schema","Add recurring_templates table to Convex schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- userId, type, amount, description
- categoryId, accountId, pattern, interval
- startDate, endDate, isActive, createdAt

**Indexes:**
- by_user
- by_user_and_active

**Acceptance Criteria:**
- [ ] Templates table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E6: Recurring Transactions","Backlog",1,"Urgent","Setup, Blocker"
"[E6.S1.T2] Add Recurring Instances to Schema","Add recurring_instances table to schema.

**Files Modified:** convex/schema.ts

**Table Fields:**
- templateId, dueDate, status
- actualTransactionId, actualAmount, deletedAt

**Indexes:**
- by_template
- by_template_and_date
- by_template_and_status

**Acceptance Criteria:**
- [ ] Instances table in schema
- [ ] Indexes defined
- [ ] Schema compiles","E6: Recurring Transactions","Backlog",1,"Urgent","Setup, Blocker"
"[E6.S1.T3] Create Recurring Form Component","Create form to set up recurring transactions.

**Files Created:** src/components/recurring/RecurringForm.tsx

**Form Fields:**
- Type (income/expense)
- Amount (number)
- Description (text)
- Category (dropdown)
- Account (dropdown, optional)
- Pattern (DAILY/WEEKLY/MONTHLY/YEARLY)
- Interval (number)
- Start date (date picker)
- End date (date picker, optional)

**Acceptance Criteria:**
- [ ] Form renders
- [ ] All fields present
- [ ] Validation works","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S1.T4] Create Recurring Mutations","Create Convex mutations for recurring templates.

**Files Created:** convex/recurring.ts

**Mutations:**
- createRecurringTemplate
- updateRecurringTemplate
- deleteRecurringTemplate

**Acceptance Criteria:**
- [ ] All mutations created
- [ ] Validation works
- [ ] No TypeScript errors","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S1.T5] Create Recurring Query","Create Convex query to fetch templates.

**Files Created/Modified:** convex/recurring.ts

**Query:** getRecurringTemplates(userId, isActive?)

**Returns:** All templates

**Acceptance Criteria:**
- [ ] Query created
- [ ] Filter works
- [ ] Returns templates sorted","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S1.T6] Wire Recurring Form to Mutations","Connect recurring form to Convex.

**Files Modified:** src/components/recurring/RecurringForm.tsx

**Connect:**
- useMutation for create/update
- Success toast
- Navigate to recurring list

**Acceptance Criteria:**
- [ ] Form submits
- [ ] Template created
- [ ] Toast shows
- [ ] Navigation works","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S1.T7] Create Recurring List Component","Create list view for recurring templates.

**Files Created:** src/components/recurring/RecurringList.tsx

**Features:**
- List of templates
- Active/inactive toggle
- Edit/delete actions
- Quick disable

**Acceptance Criteria:**
- [ ] List renders
- [ ] Shows all templates
- [ ] Real-time updates
- [ ] Actions work","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S2.T1] Create Projection Engine","Create engine to calculate projected transactions.

**Files Created:** src/lib/projectionEngine.ts

**Logic:**
- For each template
- Calculate next N occurrences
- Exclude skipped/actualized instances

**Acceptance Criteria:**
- [ ] Engine calculates projections
- [ ] Handles all patterns
- [ ] Excludes actualized","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S2.T2] Create Projection Query","Create Convex query for projected transactions.

**Files Created/Modified:** convex/recurring.ts

**Query:** getProjectedTransactions(userId, startDate, endDate)

**Returns:** Projected transactions

**Acceptance Criteria:**
- [ ] Query created
- [ ] Uses projection engine
- [ ] Filters by date range","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S2.T3] Add Pattern Calculation Logic","Implement logic for all recurrence patterns.

**Files Modified:** src/lib/projectionEngine.ts

**Patterns:**
- DAILY: Every N days
- WEEKLY: Every N weeks
- MONTHLY: Every N months (same day)
- YEARLY: Every N years (same date)

**Acceptance Criteria:**
- [ ] All patterns work
- [ ] Handles edge cases
- [ ] Accurate calculations","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S2.T4] Add End Date Handling","Handle templates with end dates.

**Files Modified:** src/lib/projectionEngine.ts

**Logic:**
- Stop projecting after endDate
- Include last occurrence

**Acceptance Criteria:**
- [ ] End date respected
- [ ] Last occurrence included
- [ ] No projections beyond end","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S2.T5] Add Projection Caching","Cache projections for performance.

**Files Created:** src/lib/projectionCache.ts

**Logic:**
- Cache projections per template
- Invalidate on template change
- TTL: 1 hour

**Acceptance Criteria:**
- [ ] Caching works
- [ ] Performance improved
- [ ] Cache invalidates correctly","E6: Recurring Transactions","Backlog",1,"Medium","Feature"
"[E6.S2.T6] Test Projection Engine","Comprehensive testing of projection engine.

**Test Cases:**
- Daily pattern
- Weekly pattern
- Monthly pattern (handles month-end)
- Yearly pattern
- End date handling

**Acceptance Criteria:**
- [ ] All patterns tested
- [ ] Edge cases covered
- [ ] No bugs found","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S3.T1] Create Mark as Paid Component","Create UI to mark projected transaction as paid.

**Files Created:** src/components/recurring/MarkAsPaidModal.tsx

**Features:**
- Shows projected amount
- Allow editing amount
- Add note
- Creates transaction

**Acceptance Criteria:**
- [ ] Modal renders
- [ ] Can edit amount
- [ ] Creates transaction
- [ ] Creates instance record","E6: Recurring Transactions","Backlog",2,"High","Feature"
"[E6.S3.T2] Create Actualization Mutation","Create mutation to actualize projected transaction.

**Files Created/Modified:** convex/recurring.ts

**Mutation:** actualizeRecurringTransaction

**Logic:**
- Create actual transaction
- Create recurring_instance (PAID)
- Link transaction to template

**Acceptance Criteria:**
- [ ] Mutation created
- [ ] Transaction created
- [ ] Instance record created
- [ ] Links correct","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S3.T3] Wire Mark as Paid to Mutation","Connect mark as paid modal to Convex.

**Files Modified:** src/components/recurring/MarkAsPaidModal.tsx

**Connect:**
- useMutation(actualize)
- Success toast
- Update ledger

**Acceptance Criteria:**
- [ ] Form submits
- [ ] Transaction created
- [ ] Toast shows
- [ ] Ledger updates","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S3.T4] Create Skip Instance Feature","Allow skipping projected transaction.

**Files Created:** src/components/recurring/SkipButton.tsx

**Logic:**
- Create recurring_instance (SKIPPED)
- Don't create transaction
- Hide from future projections

**Acceptance Criteria:**
- [ ] Skip button works
- [ ] Creates instance record
- [ ] Projection disappears
- [ ] Can un-skip","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S3.T5] Create Skip Mutation","Create mutation to skip projected transaction.

**Files Created/Modified:** convex/recurring.ts

**Mutation:** skipRecurringInstance

**Logic:**
- Create recurring_instance (SKIPPED)

**Acceptance Criteria:**
- [ ] Mutation created
- [ ] Instance created
- [ ] Projection excludes skipped","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S3.T6] Add Amount Modification Logic","Handle when actual amount differs from template.

**Files Modified:** src/components/recurring/MarkAsPaidModal.tsx

**Logic:**
- If amount changed, set status: MODIFIED
- Store actualAmount in instance

**Acceptance Criteria:**
- [ ] Modified amount tracked
- [ ] Status set correctly
- [ ] Original amount preserved","E6: Recurring Transactions","Backlog",1,"High","Feature"
"[E6.S4.T1] Create Merged Ledger Query","Create query to merge actual + projected transactions.

**Files Created/Modified:** convex/transactions.ts

**Query:** getTransactionsWithProjected(userId, filters)

**Logic:**
- Fetch actual transactions
- Fetch projected transactions
- Merge and sort by date

**Acceptance Criteria:**
- [ ] Query created
- [ ] Merges correctly
- [ ] Sorted by date","E6: Recurring Transactions","Backlog",2,"High","Feature"
